category	sku	name	supplier	cost	price	track_stock	purchase_treatment	inventory_qty	stock_quantity
Parches	25340	Set Parches THUMBS UP 24U 32x50mm + Solución 20ml.		1490.0	3500.0	True	inventory	0	0
Pegamento parches	23406	Pegamento para Parches, 12 Unidades, 20ml		2990.0	7100.0	True	inventory	0	0
Pegamento parches	PO02609000382	SOLUCION 20CC. THUMBS - NO TOLUENO 1 Unidad COMPATIBLE / GENERICO	Andes Industrial	286.66	1000.0	True	inventory	9	9
Pernos/Tornillos/Otros	AE0087	Golilla Espaciadora Para Perno M8 2mm	Aliexpress	191.3	400.0	True	inventory	20	20
Pernos/Tornillos/Otros	AE0088	Golilla Espaciadora Para Perno M8 3mm	Aliexpress	191.3	400.0	True	inventory	20	20
Pernos/Tornillos/Otros	AE0082	Perno Biela M15 Volante Integrado Meroca	Aliexpress	1052.0	3500.0	True	inventory	5	5
Pernos/Tornillos/Otros	AE0083	Perno Biela M18 Volante Integrado Meroca	Aliexpress	1168.0	3500.0	True	inventory	3	3
Pernos/Tornillos/Otros	AE0084	Perno Biela M19 Volante Integrado Meroca	Aliexpress	1052.0	3500.0	True	inventory	4	4
Pernos/Tornillos/Otros	AE0085	Perno Biela M20 Volante Integrado Meroca	Aliexpress	1010.0	3500.0	True	inventory	3	3
Pernos/Tornillos/Otros	AE0090	Perno Corona HASSNS M8 6.5mm  NEGRO	Aliexpress	219.2	850.0	True	inventory	1	1
Pernos/Tornillos/Otros	AE0091	Perno Corona HASSNS M8 8.5mm  NEGRO	Aliexpress	274.0	850.0	True	inventory	0	0
Pernos/Tornillos/Otros	PO02776019302	PERNO EJE CUADRADO TIPO SHIMANO MINIMO VENTA MULTIPLOS DE 20		240.0	800.0	True	inventory	11	11
Pernos/Tornillos/Otros	AI039	PERNO EJE PARA CUADRADA NEGRO COMPATIBLE / GENERICO	Andes Industrial	166.0	600.0	True	inventory	2	2
Pernos/Tornillos/Otros	AE0080	Perno Fijación Corona M8 14mm AE	Aliexpress	621.0	1000.0	True	inventory	1	1
Pernos/Tornillos/Otros	AE0078	Perno Fijación Corona M8 6mm AE	Aliexpress	443.6	850.0	True	inventory	1	1
Pernos/Tornillos/Otros	AE0079	Perno Fijación Corona M8 8mm AE	Aliexpress	480.8	850.0	True	inventory	0	0
Pernos/Tornillos/Otros	PO02609000463	PERNO FRENO DISCO (ROTOR) PARA TORQ T25 ( MINIMO 20 PCS )	Andes Industrial	130.0	300.0	True	inventory	20	20
Pernos/Tornillos/Otros	P335	Perno Freno Disco Cromo M5x10mm Taiwan 1 unid	MKR	125.88	300.0	True	inventory	0	0
Pernos/Tornillos/Otros	19264	PERNO PARA EJE CUADRADO NEGRO ALTERNATIVO		88.0	500.0	True	inventory	9	9
Pernos/Tornillos/Otros	2000000140704	Perno Para Porta Caramayolas Taiwan (20 Unid	MKR	132.5	500.0	True	inventory	13	13
Pernos/Tornillos/Otros	PO02499002177	PERNO PARA TEE A-HEAD ALLEN COMPATIBLE / GENERICO	Andes Industrial	166.0	800.0	True	inventory	5	5
Pernos/Tornillos/Otros	AE0028	Tornillo Biela M8x18mm	Aliexpress	998.0	1990.0	True	inventory	2	2
Silicona	5013863030423	Silicona protectora Weldtite Aerosol 500 ml silicon shine	Andes Life	5037.0	11990.0	True	inventory	0	0
Tripas Tubeless	AE0047	Kit Tubeless Tripas Deemount	Aliexpress	5122.33	9200.0	True	inventory	3	3
Tubeless	AE0003	Cinta Tubeless Deemount 10Mt, 21mm	Aliexpress	2908.0	5990.0	True	inventory	0	0
