table,index,size_bytes,size,table_writes_since_2026-08-30,live_rows,definition
featured_products,idx_featured_products_tenant,16384,16 kB,0,0,CREATE INDEX idx_featured_products_tenant ON public.featured_products USING btree (tenant_id)
job_roles,idx_job_roles_system_role,16384,16 kB,0,0,CREATE INDEX idx_job_roles_system_role ON public.job_roles USING btree (system_role)
job_roles,idx_job_roles_tenant,16384,16 kB,0,0,CREATE INDEX idx_job_roles_tenant ON public.job_roles USING btree (tenant_id)
job_status_supply_capability_events,idx_job_status_supply_capability_events_status,16384,16 kB,0,0,"CREATE INDEX idx_job_status_supply_capability_events_status ON public.job_status_supply_capability_events USING btree (tenant_id, status_id, occurred_at DESC, id DESC)"
job_statuses,idx_job_statuses_code,16384,16 kB,0,0,"CREATE INDEX idx_job_statuses_code ON public.job_statuses USING btree (tenant_id, code)"
job_statuses,idx_job_statuses_phase,16384,16 kB,0,0,"CREATE INDEX idx_job_statuses_phase ON public.job_statuses USING btree (tenant_id, phase)"
job_subjects,idx_job_subjects_tenant_active,16384,16 kB,0,0,"CREATE INDEX idx_job_subjects_tenant_active ON public.job_subjects USING btree (tenant_id, is_active)"
loyalty,idx_loyalty_tenant,16384,16 kB,20,20,CREATE INDEX idx_loyalty_tenant ON public.loyalty USING btree (tenant_id)
loyalty,idx_loyalty_tier,16384,16 kB,20,20,CREATE INDEX idx_loyalty_tier ON public.loyalty USING btree (tier)
mechanic_job_bikes,idx_mechanic_job_bikes_status,16384,16 kB,504,452,CREATE INDEX idx_mechanic_job_bikes_status ON public.mechanic_job_bikes USING btree (status_id)
mechanic_job_bikes,idx_mechanic_job_bikes_tenant,16384,16 kB,504,452,CREATE INDEX idx_mechanic_job_bikes_tenant ON public.mechanic_job_bikes USING btree (tenant_id)
mechanic_job_items,idx_mechanic_job_items_service_product_id,16384,16 kB,407,1453,CREATE INDEX idx_mechanic_job_items_service_product_id ON public.mechanic_job_items USING btree (service_product_id) WHERE (service_product_id IS NOT NULL)
mechanic_job_items,idx_mechanic_job_items_system_location,16384,16 kB,407,1453,"CREATE INDEX idx_mechanic_job_items_system_location ON public.mechanic_job_items USING btree (system_key, location_key) WHERE (system_key IS NOT NULL)"
mechanic_job_tasks,idx_mechanic_job_tasks_completion,16384,16 kB,122,274,"CREATE INDEX idx_mechanic_job_tasks_completion ON public.mechanic_job_tasks USING btree (is_completed, job_id)"
mechanic_job_tasks,idx_mechanic_job_tasks_job,16384,16 kB,122,274,CREATE INDEX idx_mechanic_job_tasks_job ON public.mechanic_job_tasks USING btree (job_id)
mechanic_job_tasks,idx_mechanic_job_tasks_tenant,16384,16 kB,122,274,CREATE INDEX idx_mechanic_job_tasks_tenant ON public.mechanic_job_tasks USING btree (tenant_id)
mechanic_jobs,idx_mechanic_jobs_deadline,16384,16 kB,1200,501,CREATE INDEX idx_mechanic_jobs_deadline ON public.mechanic_jobs USING btree (deadline) WHERE (deadline IS NOT NULL)
mechanic_jobs,idx_mechanic_jobs_deleted_at,16384,16 kB,1200,501,CREATE INDEX idx_mechanic_jobs_deleted_at ON public.mechanic_jobs USING btree (deleted_at) WHERE (deleted_at IS NOT NULL)
mechanic_jobs,idx_mechanic_jobs_mode_review,16384,16 kB,1200,501,"CREATE INDEX idx_mechanic_jobs_mode_review ON public.mechanic_jobs USING btree (tenant_id, mode_needs_review, created_at DESC) WHERE ((deleted_at IS NULL) AND mode_needs_review)"
mechanic_jobs,idx_mechanic_jobs_priority,16384,16 kB,1200,501,CREATE INDEX idx_mechanic_jobs_priority ON public.mechanic_jobs USING btree (priority)
mechanic_jobs,idx_mechanic_jobs_status,16384,16 kB,1200,501,CREATE INDEX idx_mechanic_jobs_status ON public.mechanic_jobs USING btree (status)
mechanic_jobs,idx_mechanic_jobs_subject,16384,16 kB,1200,501,CREATE INDEX idx_mechanic_jobs_subject ON public.mechanic_jobs USING btree (subject_id) WHERE (subject_id IS NOT NULL)
message_reactions,message_reactions_tenant_idx,16384,16 kB,18,15,CREATE INDEX message_reactions_tenant_idx ON public.message_reactions USING btree (tenant_id)
messages,idx_messages_external_provider,16384,16 kB,535,421,CREATE INDEX idx_messages_external_provider ON public.messages USING btree (external_provider) WHERE (external_provider IS NOT NULL)
messages,idx_messages_thread_replies,16384,16 kB,535,421,"CREATE INDEX idx_messages_thread_replies ON public.messages USING btree (conversation_id, thread_root_message_id, message_sequence) WHERE (thread_root_message_id IS NOT NULL)"
messaging_command_receipts,idx_messaging_command_receipts_conversation,16384,16 kB,11,11,"CREATE INDEX idx_messaging_command_receipts_conversation ON public.messaging_command_receipts USING btree (tenant_id, conversation_id, created_at DESC)"
messaging_context_projection_reconciliation_audit,idx_messaging_context_projection_audit_context_lookup,16384,16 kB,0,0,"CREATE INDEX idx_messaging_context_projection_audit_context_lookup ON public.messaging_context_projection_reconciliation_audit USING btree (context_type, context_id)"
messaging_context_projection_reconciliation_audit,idx_messaging_context_projection_audit_conversation_recorded,16384,16 kB,0,0,"CREATE INDEX idx_messaging_context_projection_audit_conversation_recorded ON public.messaging_context_projection_reconciliation_audit USING btree (conversation_id, recorded_at DESC)"
messaging_context_projection_reconciliation_audit,idx_messaging_context_projection_audit_tenant_recorded,16384,16 kB,0,0,"CREATE INDEX idx_messaging_context_projection_audit_tenant_recorded ON public.messaging_context_projection_reconciliation_audit USING btree (tenant_id, recorded_at DESC)"
meta_channels,idx_meta_channels_tenant_active,16384,16 kB,0,0,"CREATE INDEX idx_meta_channels_tenant_active ON public.meta_channels USING btree (tenant_id, provider, is_active)"
meta_conversation_bindings,idx_meta_bindings_reply_window,16384,16 kB,0,0,"CREATE INDEX idx_meta_bindings_reply_window ON public.meta_conversation_bindings USING btree (tenant_id, reply_window_expires_at) WHERE (reply_window_expires_at IS NOT NULL)"
meta_conversation_bindings,idx_meta_bindings_tenant_conversation,16384,16 kB,0,0,"CREATE INDEX idx_meta_bindings_tenant_conversation ON public.meta_conversation_bindings USING btree (tenant_id, conversation_id)"
meta_oauth_states,idx_meta_oauth_states_expiry,16384,16 kB,0,0,CREATE INDEX idx_meta_oauth_states_expiry ON public.meta_oauth_states USING btree (expires_at) WHERE (consumed_at IS NULL)
meta_webhook_events,idx_meta_events_external_message,16384,16 kB,0,0,"CREATE INDEX idx_meta_events_external_message ON public.meta_webhook_events USING btree (channel_id, external_message_id) WHERE (external_message_id IS NOT NULL)"
meta_webhook_events,idx_meta_events_tenant_created,16384,16 kB,0,0,"CREATE INDEX idx_meta_events_tenant_created ON public.meta_webhook_events USING btree (tenant_id, created_at DESC)"
online_order_access_tokens,idx_online_order_access_tokens_active,16384,16 kB,0,0,"CREATE INDEX idx_online_order_access_tokens_active ON public.online_order_access_tokens USING btree (token_sha256, expires_at) WHERE (revoked_at IS NULL)"
online_order_access_tokens,idx_online_order_access_tokens_order,16384,16 kB,0,0,"CREATE INDEX idx_online_order_access_tokens_order ON public.online_order_access_tokens USING btree (tenant_id, order_id, created_at DESC)"
online_order_events,idx_online_order_events_order,16384,16 kB,0,0,"CREATE INDEX idx_online_order_events_order ON public.online_order_events USING btree (tenant_id, order_id, occurred_at DESC, id DESC)"
